--------------------
BDMEP - INMET
--------------------
Estação           : BOM JESUS DA LAPA - BA (OMM: 83288)
Latitude  (graus) : -13.26
Longitude (graus) : -43.41
Altitude  (metros): 439.96
Estação Operante
Inicio de operação: 01/11/1941
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Umidade Relativa Media;Velocidade do Vento Media;
83288;09/02/1970;0000;;29.9;;7.1;3.2;71.25;1;
83288;09/02/1970;1200;0;;20.5;;;;;
83288;10/02/1970;0000;;32.1;;10.9;3.8;70.25;1.333333;
83288;10/02/1970;1200;0;;19.4;;;;;
83288;11/02/1970;0000;;32.2;;9.1;4.2;69.25;1;
83288;11/02/1970;1200;0;;19.1;;;;;
83288;12/02/1970;0000;;31.5;;10.6;4.1;67.5;0.333333;
83288;12/02/1970;1200;0;;20.8;;;;;
83288;13/02/1970;0000;;31.1;;11.8;4.7;63.5;1.666667;
83288;13/02/1970;1200;0;;18.2;;;;;
83288;14/02/1970;0000;;31.5;;7.7;4;73.75;0.666667;
83288;14/02/1970;1200;0;;21.4;;;;;
83288;15/02/1970;0000;;31.4;;11.2;3.9;69;0.666667;
83288;15/02/1970;1200;0;;20.3;;;;;
83288;16/02/1970;0000;;31.5;;10;7.8;72.5;2.333333;
83288;16/02/1970;1200;0;;18.8;;;;;
83288;17/02/1970;0000;;32;;10.7;1.2;65;2;
83288;17/02/1970;1200;3.2;;21.6;;;;;
83288;18/02/1970;0000;;30.8;;8.2;5.3;72.75;1;
83288;18/02/1970;1200;0;;20.1;;;;;
83288;19/02/1970;0000;;30.3;;5.8;3.5;79.75;2.333333;
83288;19/02/1970;1200;0;;21.9;;;;;
83288;20/02/1970;0000;;23.9;;0.2;1.7;91.25;1;
