--------------------
BDMEP - INMET
--------------------
Estação           : CARACOL - PI (OMM: 82976)
Latitude  (graus) : -9.28
Longitude (graus) : -43.33
Altitude  (metros): 522.77
Estação Operante
Inicio de operação: 03/10/1975
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Umidade Relativa Media;Velocidade do Vento Media;
82976;04/01/1976;1200;0;;17.2;;;;;
82976;05/01/1976;0000;;35;;11.1;10.7;46.5;2.633333;
82976;05/01/1976;1200;0;;17.4;;;;;
82976;06/01/1976;0000;;33.6;;9.2;9.6;49.5;3.066667;
82976;06/01/1976;1200;0;;18.6;;;;;
82976;07/01/1976;0000;;34;;10.3;8.4;56.25;3.166667;
82976;07/01/1976;1200;0;;19.2;;;;;
82976;08/01/1976;0000;;33.6;;8;9;47.75;3.033333;
82976;08/01/1976;1200;0;;19.8;;;;;
82976;09/01/1976;0000;;33.6;;7.4;10.6;54.5;2.733333;
82976;09/01/1976;1200;0;;22.2;;;;;
82976;10/01/1976;0000;;34.8;;11.7;9.1;41.25;2.466667;
82976;10/01/1976;1200;0;;;;;;;
82976;11/01/1976;0000;;33.8;;7.8;10.5;50.75;2.933333;
82976;11/01/1976;1200;0;;;;;;;
82976;12/01/1976;0000;;34.6;;7.2;8.4;57.75;1.766667;
82976;12/01/1976;1200;0;;;;;;;
82976;13/01/1976;0000;;35.4;;10.6;9;45.5;2.4;
82976;13/01/1976;1200;0.3;;;;;;;
82976;14/01/1976;0000;;33.6;;8.5;13.3;52.5;3.1;
82976;14/01/1976;1200;0;;;;;;;
82976;15/01/1976;0000;;33;;5.8;8.5;58.25;2.366667;
82976;15/01/1976;1200;0;;;;;;;
82976;16/01/1976;0000;;33;;3;8.1;68.25;1.966667;
82976;16/01/1976;1200;1.7;;;;;;;
82976;17/01/1976;0000;;34.2;;8.8;5;55;1.6;
82976;17/01/1976;1200;0;;;;;;;
